Wavelength,400 nm,442 nm,500 nm,550 nm,600 nm,650 nm,700 nm,Large chequerboard (white),Large chequerboard (black),Printer paper (white),Printer paper (toner),dark skin,light skin,blue sky,foliage,blue flower,bluish green,orange,purplish blue,moderate red,purple,yellow green,orange yellow,blue,green,red,yellow,magenta,cyan,white 9.5 (.05 D),neutral 8 (.23 D),neutral 6.5 (.44 D),neutral 5 (.70 D),neutral 3.5 (1.05 D),black 2 (1.5 D),Small chequerboard (white),Small chequerboard (black)
1170,0.741921,0.025306,0.13242,0.675074,1.715442,0.343088,2.289931,0.965216,0.05105,0.979741,0.070818,0.269524,0.905135,0.41543,0.23336,0.896171,0.944295,0.727302,0.942254,0.707435,0.622736,0.738627,0.862492,0.876899,0.729615,0.780738,0.933402,0.901255,0.543764,1.017718,0.669045,0.34754,0.153247,0.076837,0.045463,0.885669,0.0569725
1171,0.326401,0,0.10571,0.5084975,1.109055,0.24859,1.068783,0.9643805,0.0510085,0.979513,0.07091,0.269602,0.904821,0.415385,0.233311,0.895918,0.943883,0.7271,0.942074,0.707303,0.622761,0.738529,0.862211,0.876757,0.72963,0.780468,0.933044,0.901013,0.543801,1.017265,0.668885,0.347417,0.153213,0.076841,0.045491,0.885038,0.0569735
1172,0.112736,0,0.075754,0.328532,0.57383,0.156679,0.396184,0.9635215,0.0509795,0.979308,0.070988,0.269626,0.904455,0.415301,0.233225,0.895649,0.943429,0.726865,0.941933,0.70715,0.622776,0.738425,0.861884,0.876596,0.72959,0.780148,0.932665,0.900777,0.543782,1.016805,0.668722,0.347297,0.153174,0.076855,0.045498,0.8844605,0.056955
1173,0.086916,0.015207,0.093359,0.3697155,0.451021,0.106577,0.189448,0.962578,0.0509955,0.978944,0.070946,0.269729,0.904297,0.415222,0.233276,0.895427,0.943124,0.726741,0.94197,0.706997,0.622721,0.738356,0.861728,0.876477,0.72962,0.780005,0.932494,0.900524,0.543787,1.016417,0.668722,0.347167,0.153166,0.076861,0.045464,0.8836115,0.0569405
1174,0.092147,0.03782,0.13498,0.5527445,0.390062,0.039699,0.055346,0.96161,0.0510335,0.97851,0.070851,0.269872,0.904274,0.415154,0.233389,0.895213,0.942895,0.726692,0.942079,0.706847,0.622637,0.738313,0.861629,0.876388,0.729688,0.779948,0.932441,0.90026,0.543832,1.016072,0.668823,0.347034,0.153183,0.076858,0.045395,0.882655,0.0569225
1175,0.250606,0.045919,0.151805,0.6887295,0.347464,0.080685,0.079204,0.9606875,0.051014,0.978121,0.070788,0.269981,0.904134,0.415129,0.233513,0.89506,0.942703,0.726691,0.94206,0.706692,0.622669,0.738292,0.861457,0.876339,0.729807,0.7799,0.932307,0.900078,0.543847,1.015714,0.668836,0.346972,0.153218,0.076822,0.045396,0.881796,0.056867
1176,0.83481,0.048585,0.102467,0.8170025,0.422801,0.440247,0.432169,0.959798,0.0509375,0.977774,0.070757,0.270068,0.903911,0.415128,0.233657,0.894993,0.942554,0.726724,0.941979,0.706562,0.622797,0.738289,0.861275,0.876341,0.729971,0.779898,0.932117,0.899982,0.543842,1.015353,0.668743,0.346983,0.153245,0.076739,0.045459,0.8809965,0.056794
1177,1.101533,0.247699,0.281608,0.7504315,0.455284,0.740388,0.681438,0.958857,0.0509215,0.977453,0.070714,0.270174,0.90379,0.415138,0.233742,0.894982,0.942443,0.726796,0.941958,0.706558,0.622995,0.738318,0.861199,0.876401,0.730124,0.779999,0.931995,0.899923,0.543856,1.015041,0.668731,0.346972,0.153215,0.076702,0.045496,0.880165,0.056777
1178,0.419619,0.459886,0.52471,0.4446515,0.357816,0.395611,0.295411,0.95783,0.0509785,0.977136,0.070646,0.270311,0.903761,0.415184,0.233746,0.895011,0.942389,0.726915,0.942007,0.706692,0.623282,0.738414,0.861246,0.876541,0.730279,0.780209,0.931953,0.899925,0.543879,1.014783,0.668829,0.346892,0.153116,0.076743,0.045507,0.8792855,0.0568015
1179,0.283701,0.520481,0.758898,0.4303105,0.315962,0.287282,0.202601,0.956798,0.050986,0.976747,0.070644,0.270449,0.903733,0.415187,0.233786,0.895012,0.942331,0.72699,0.942086,0.706787,0.623548,0.738571,0.861297,0.876724,0.730473,0.780341,0.93191,0.899939,0.543913,1.014599,0.668879,0.34681,0.153045,0.076753,0.045525,0.878441,0.0568245
